Ticker,Industry,Sector,Fiscal_Year_End,ROE,Annual_EPS,Annual_EPS_Growth,Annual_Net_Income_Growth,Annual_Basic_Shares_Outstanding,Annual_Sales_Growth,Quarter_EPS,Quarter_EPS_Growth,Quarter_Net_Income_Growth,Quarter_Net_Margin,Quarter_Sales_Growth,Total_Shareholders_Equity,Liabilities_&_Shareholders_Equity,Net_Operating_Cash_Flow
AMBA,Semiconductors,Electronic Technology,01/2024,-11.339,(1.70) (0.72) (1.72) (1.35) (0.93),-136.03% 58.11% -27.34% -45.47% -,-147.57% 55.82% -33.47% -47.11% -,38363.6 36577.1 34679.7 33083.6 32713.6,1.73% 48.82% -2.51% 0.42% -,(1.04) (0.79) (0.91) (0.29) (0.51),-32.65% 13.97% -219.65% 44.39% -,-33.69% 13.10% -223.30% 43.94% -,-19.37% - - - -,-18.55% -0.03% -25.42% 0.27% -,606088.0 547176.0 474976.0 448072.0 419489.0,710195.0 657545.0 573280.0 527276.0 466853.0,44093.0 38795.0 30800.0 39414.0 24472.0
AMD,Semiconductors,Electronic Technology,12/2023,4.241,0.84 2.57 2.06 0.30 0.32,-67.34% 24.66% 577.77% -4.84% -,-58.25% 26.99% 630.21% 1.19% -,1561 1213 1184 1091 982,43.61% 68.33% 45.05% 3.95% -,0.18 0.02 (0.09) 0.01 0.04,1006.02% 119.24% -763.85% -67.98% -,1007.41% 119.42% -761.90% -68.18% -,5.59% - - - -,8.23% 0.11% -4.39% 0.61% -,54750 7497 5837 2827 1266,67580 12419 8962 6028 4556,3565 3521 1071 493 34
AMED,Medical/Nursing Services,Health Services,12/2023,11.963,3.63 6.34 5.52 3.84 3.55,-42.71% 14.89% 43.55% 8.27% -,-43.27% 13.87% 44.76% 6.27% -,33 33 33 32 33,0.41% 6.88% 5.93% 17.63% -,0.79 (2.46) 0.77 0.97 0.79,132.09% -418.59% -20.50% 23.73% -,132.34% -417.97% -20.40% 23.69% -,5.34% - - - -,0.59% -0.61% -1.01% 0.73% -,1052 931 809 640 482,1976 1857 1567 1263 717,174458.0 225538.0 323647.0 234295.0 223483.0
AMEH,Services to the Health Industry,Health Services,12/2023,9.06,0.99 1.52 1.01 0.39 0.29,-34.75% 50.12% 160.75% 35.69% -,-34.46% 82.02% 168.24% 30.29% -,45 44 37 35 33,47.84% 12.62% 22.58% 7.83% -,0.47 0.28 0.28 (0.06) 0.56,67.00% 0.64% 601.25% -109.91% -,67.49% 0.29% 605.08% -110.01% -,3.95% - - - -,-0.01% 3.25% 14.63% -7.19% -,542561.0 448167.0 330824.0 191548.9 180545.8,989915.0 886451.0 817486.0 728713.3 512999.0,82128.0 70335.0 46163.0 13913.4 26103.5
AMGN,Pharmaceuticals: Major,Health Technology,12/2023,126.474,12.11 10.28 12.31 12.88 12.62,17.76% -16.47% -4.39% 2.01% -,11.18% -18.87% -7.37% -6.58% -,538 570 586 605 661,0.40% 2.94% 8.53% -2.13% -,3.22 2.57 5.28 3.00 3.98,25.22% -51.37% 76.13% -24.73% -,25.45% -51.46% 75.80% -24.59% -,25.11% - - - -,-1.15% 14.82% -10.42% 2.64% -,3661 6700 9409 9673 12500,65121 61165 62948 59707 66416,9721 9261 10497 9150 11296
AMKR,Semiconductors,Electronic Technology,12/2023,23.168,3.11 2.62 1.40 0.50 0.53,18.86% 87.49% 177.27% -5.04% -,19.10% 90.16% 179.71% -4.88% -,245 244 242 240 239,15.53% 21.54% 24.62% -6.11% -,0.54 0.26 0.18 0.67 1.24,106.15% 41.85% -72.45% -46.45% -,106.29% 41.75% -72.40% -46.32% -,10.80% - - - -,24.96% -0.93% -22.80% -8.52% -,3669 2942 2326 1964 1831,6822 6039 5022 4696 4495,1099 1121 770 564 663
AMLX,Pharmaceuticals: Major,Health Technology,12/2023,-92.528,(2.98) (1.52) (0.75) (0.24) -,-96.27% -102.94% -208.28% 0.00% -,-125.60% -107.97% -208.25% 0.00% -,66512.0 57864.2 56466.0 56466.0 -,7700.00% -56.15% -54.42% 0.00% -,0.30 0.31 0.02 (0.65) (0.92),-4.80% 1317.57% 103.40% 28.92% -,-5.35% 1303.31% 103.68% 20.56% -,-892.38% - - - -,4.56% 37.50% 226.38% 6243.48% -,340607.0 88183.0 5337.0 (17682.0) -,391453.0 105614.0 14104.0 3220.0 -,(181506.0) (74799.0) (36697.0) (10687.0) -
AMPG,Electronic Production Equipment,Electronic Technology,12/2023,-2.343,(0.07) (0.53) (0.37) 0.00 0.08,86.81% -45.04% -26428.57% -98.13% -,85.77% -364.02% -17350.78% -98.19% -,9609.2 8900.8 2782.3 2429.7 2388.6,267.64% 52.55% 10.74% 30.25% -,(0.09) (0.05) (0.06) (0.09) 0.06,-87.17% 18.71% 34.49% -255.22% -,-87.77% 18.76% 34.47% -253.94% -,-3.49% - - - -,-16.84% -0.95% -3.81% -21.35% -,28755.5 29033.5 440.3 1093.7 915.3,36679.6 35227.2 2811.5 3360.4 1407.8,(3425.2) (2199.0) (521.5) (20.0) 352.3
AMPH,Pharmaceuticals: Major,Health Technology,12/2023,18.762,1.74 1.25 0.03 0.98 (0.12),39.71% 4262.59% -97.08% 892.72% -,47.12% 4327.37% -97.13% 952.89% -,48551.0 47777.0 47038.0 46982.0 46395.0,13.98% 25.13% 8.53% 9.40% -,0.91 0.49 0.50 0.66 0.30,85.53% -1.78% -23.62% 118.09% -,88.42% 0.35% -23.24% 113.64% -,18.31% - - - -,23.91% 4.06% 3.70% 12.40% -,528658.0 445522.0 402306.0 381366.0 332435.0,741987.0 671529.0 631236.0 586971.0 513563.0,88774.0 97994.0 57266.0 41762.0 38191.0
AMPL,Packaged Software,Technology Services,12/2023,-31.047,(0.84) (0.68) (0.24) (0.33) -,-22.79% -184.57% 26.73% 0.00% -,-24.53% -205.22% 26.74% 0.00% -,111437.0 109876.0 102444.7 102444.7 -,42.33% 63.24% 49.71% 0.00% -,(0.15) (0.24) (0.23) (0.21) (0.20),37.00% -3.82% -8.23% -5.61% -,36.07% -5.48% -9.44% -6.66% -,-39.22% - - - -,4.24% 1.94% 1.87% 5.91% -,294969.0 306548.0 120691.0 75112.0 -,413755.0 400388.0 175082.0 113241.0 -,(5384.0) (31713.0) (10392.0) (16036.0) -
AMRX,Pharmaceuticals: Major,Health Technology,12/2023,-39.464,(0.86) 0.07 0.61 (2.74) (0.16),-1330.29% -88.55% 122.32% -1566.42% -,-1323.51% -88.33% 125.16% -1630.00% -,151 149 147 132 127,5.67% 5.08% 22.51% -2.20% -,0.06 0.08 (0.05) (0.03) (0.02),-21.20% 268.64% -59.44% -60.67% -,-18.75% 271.64% -60.24% -61.14% -,-5.88% - - - -,3.50% 7.44% -8.56% 11.77% -,298 360 303 232 505,3799 3940 4006 3666 4353,65100.0 241820.0 379001.0 1705.0 195275.0
AMST,Packaged Software,Technology Services,06/2024,-58.414,(1.68) (4.67) (6.76) (3.08) (3.14),64.01% 30.87% -119.22% 1.83% -,54.16% 21.80% -177.83% -5.87% -,2469.9 1939.1 1714.3 1352.7 1254.2,21.23% 3.32% 1029.02% 300.46% -,(0.35) (0.37) (0.37) (0.28) (0.69),6.11% -1.66% -32.49% 59.87% -,6.09% -2.21% -32.67% 55.65% -,-491.51% - - - -,-48.51% -39.88% -13.73% -15.39% -,6084.4 8135.8 11735.1 2999.9 1844.9,6349.8 8883.9 12476.8 5704.7 2176.0,(3249.2) (6715.7) (5334.7) (2810.1) (2234.8)
AMWD,Building Products,Producer Manufacturing,04/2024,11.383,5.62 (1.79) 3.59 4.42 4.83,413.56% -149.87% -18.67% -8.55% -,415.33% -148.57% -18.26% -10.55% -,17 17 17 17 17,11.25% 6.49% 5.68% 0.30% -,1.85 2.28 1.80 0.88 1.73,-19.02% 26.69% 104.17% -48.95% -,-19.84% 25.58% 104.65% -48.83% -,4.54% - - - -,-4.89% 3.57% 0.08% -14.39% -,874 773 756 701 620,1519 1632 1654 1623 1530,198837.0 49545.0 176134.0 177542.0 190613.0
AMZN,Internet Retail,Retail Trade,12/2023,-1.915,(0.27) 3.24 2.09 1.15 1.01,-108.25% 54.89% 81.92% 14.13% -,-108.16% 56.41% 84.08% 15.04% -,10189 10120 10000 9880 9740,9.40% 21.70% 37.62% 20.45% -,0.94 0.65 0.31 0.03 0.28,44.85% 110.70% 1035.56% -90.29% -,46.36% 112.80% 1041.01% -90.32% -,-0.53% - - - -,6.47% 5.52% -14.64% 17.39% -,146043 138245 93404 62060 43549,462675 420549 321195 225248 162648,46752 46327 66064 38514 30723
